competition,configuration,ml_weight,poisson_weight,match_count,accuracy,log_loss,brier_score,macro_f1,weighted_f1,draw_recall,away_recall,home_recall
Turkish Super League,Poisson only,0.0,1.0,648,0.5123456790123457,1.0011595974608964,0.5972066519907407,0.38815807938512686,0.43755041082296925,0.0,0.6902173913043478,0.6949152542372882
Overall,70 ML / 30 Poisson,0.7,0.3,10343,0.5182248863965967,1.0015682970095336,0.5935728751781512,0.42298923473783945,0.46795326330667003,0.05429341547939931,0.6687211093990755,0.6774050211064208
Bundesliga,70 ML / 30 Poisson,0.7,0.3,1151,0.5152041702867072,1.0148401090983379,0.6004404280045041,0.4023042358869418,0.4529984563522117,0.014035087719298246,0.6455696202531646,0.7091295116772823
Champions League,70 ML / 30 Poisson,0.7,0.3,378,0.5767195767195767,1.0073392242852892,0.5805148445213522,0.4395870732790743,0.5394605714080598,0.05084745762711865,0.6328125,0.7015706806282722
Eredivisie,70 ML / 30 Poisson,0.7,0.3,1200,0.52,1.0077247502603777,0.5956327514809572,0.43047818266815624,0.47333601781200724,0.06514657980456026,0.7005649717514124,0.660482374768089
La Liga,70 ML / 30 Poisson,0.7,0.3,1508,0.4980106100795756,1.0072543960088804,0.5956723826912685,0.413470812818058,0.4629922100107449,0.07407407407407407,0.6338028169014085,0.6434659090909091
Ligue 1,70 ML / 30 Poisson,0.7,0.3,1210,0.5322314049586777,1.006746446974829,0.595249302632152,0.4311931454788598,0.48874940158883484,0.06642066420664207,0.6816976127320955,0.6565836298932385
Premier League,70 ML / 30 Poisson,0.7,0.3,1520,0.49407894736842106,1.0293155687226958,0.6159249179566751,0.38602230783194497,0.4289235052641695,0.012690355329949238,0.6321138211382114,0.6861198738170347
Primeira Liga,70 ML / 30 Poisson,0.7,0.3,1220,0.5540983606557377,0.946641508926852,0.5593548261384546,0.47454655700078474,0.508252405636919,0.10185185185185185,0.7493472584856397,0.6939571150097466
Serie A,70 ML / 30 Poisson,0.7,0.3,1508,0.513262599469496,0.9948210897173355,0.5921912541363188,0.4277251906933442,0.4587954420351863,0.05853658536585366,0.6600790513833992,0.7027027027027027
Turkish Super League,70 ML / 30 Poisson,0.7,0.3,648,0.5077160493827161,0.9943528775327063,0.592368238617663,0.4072606105529018,0.4508920514396514,0.03550295857988166,0.6902173913043478,0.6644067796610169
Overall,60 ML / 40 Poisson,0.6,0.4,10343,0.520448612588224,0.9994020768385534,0.5928899350755935,0.4135383280365819,0.4616108780989013,0.03311513284559107,0.6714946070878274,0.6927349477893802
Bundesliga,60 ML / 40 Poisson,0.6,0.4,1151,0.5186794092093832,1.0125767111083175,0.59973074518121,0.40176644363573133,0.45305041164787324,0.010526315789473684,0.6506329113924051,0.7154989384288747
Champions League,60 ML / 40 Poisson,0.6,0.4,378,0.5767195767195767,1.0033304000326562,0.5801493349980792,0.439495877141371,0.5396422727649864,0.05084745762711865,0.6328125,0.7015706806282722
Eredivisie,60 ML / 40 Poisson,0.6,0.4,1200,0.5183333333333333,1.0043344214010526,0.5940877854555756,0.41356192543112,0.4608748354750267,0.03257328990228013,0.6949152542372882,0.6790352504638218
La Liga,60 ML / 40 Poisson,0.6,0.4,1508,0.5039787798408488,1.004581833386905,0.5949743565086071,0.40197030849711185,0.4555551810417805,0.03968253968253968,0.6502347417840375,0.6647727272727273
