league,league_key,season,url,status,matches,error
Turkish Super League,super_lig,2018-19,https://www.football-data.co.uk/mmz4281/1819/T1.csv,OK,306,
Turkish Super League,super_lig,2019-20,https://www.football-data.co.uk/mmz4281/1920/T1.csv,OK,306,
Turkish Super League,super_lig,2020-21,https://www.football-data.co.uk/mmz4281/2021/T1.csv,OK,420,
Turkish Super League,super_lig,2021-22,https://www.football-data.co.uk/mmz4281/2122/T1.csv,OK,380,
Turkish Super League,super_lig,2022-23,https://www.football-data.co.uk/mmz4281/2223/T1.csv,OK,342,
Turkish Super League,super_lig,2023-24,https://www.football-data.co.uk/mmz4281/2324/T1.csv,OK,380,
Turkish Super League,super_lig,2024-25,https://www.football-data.co.uk/mmz4281/2425/T1.csv,OK,342,
Turkish Super League,super_lig,2025-26,https://www.football-data.co.uk/mmz4281/2526/T1.csv,OK,306,
Belgian First Division,belgian_first_division,2016-17,https://www.football-data.co.uk/mmz4281/1617/B1.csv,OK,240,
Belgian First Division,belgian_first_division,2017-18,https://www.football-data.co.uk/mmz4281/1718/B1.csv,OK,240,
Belgian First Division,belgian_first_division,2018-19,https://www.football-data.co.uk/mmz4281/1819/B1.csv,OK,240,
Belgian First Division,belgian_first_division,2019-20,https://www.football-data.co.uk/mmz4281/1920/B1.csv,OK,232,
Belgian First Division,belgian_first_division,2020-21,https://www.football-data.co.uk/mmz4281/2021/B1.csv,OK,306,
Belgian First Division,belgian_first_division,2021-22,https://www.football-data.co.uk/mmz4281/2122/B1.csv,OK,306,
Belgian First Division,belgian_first_division,2022-23,https://www.football-data.co.uk/mmz4281/2223/B1.csv,OK,306,
Belgian First Division,belgian_first_division,2023-24,https://www.football-data.co.uk/mmz4281/2324/B1.csv,OK,312,
Belgian First Division,belgian_first_division,2024-25,https://www.football-data.co.uk/mmz4281/2425/B1.csv,OK,312,
Belgian First Division,belgian_first_division,2025-26,https://www.football-data.co.uk/mmz4281/2526/B1.csv,OK,311,
