match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
league_2bb8131ce6a863ed,2024-08-23,BUNDESLIGA,2024-25,LEAGUE,,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,3,A,Germany,Bundesliga,football-data.co.uk
502373,2024-08-24,BL1,2024,REGULAR_SEASON,1.0,Borussia Dortmund,Eintracht Frankfurt,2,0,H,,BL1,existing_project_data
league_71b10d8e42a3ab07,2024-08-24,BUNDESLIGA,2024-25,LEAGUE,,Borussia Dortmund,Eintracht Frankfurt,2,0,H,Germany,Bundesliga,football-data.co.uk
499016,2024-08-25,DED,2024,REGULAR_SEASON,3.0,Sparta Rotterdam,Feyenoord Rotterdam,1,1,D,,DED,existing_project_data
league_e8595b8649c50d0a,2024-08-25,EREDIVISIE,2024-25,LEAGUE,,Sparta Rotterdam,Feyenoord Rotterdam,1,1,D,Netherlands,Eredivisie,football-data.co.uk
502380,2024-08-31,BL1,2024,REGULAR_SEASON,2.0,Bayer 04 Leverkusen,RB Leipzig,2,3,A,,BL1,existing_project_data
league_879c2bfb1b3adb6b,2024-08-31,BUNDESLIGA,2024-25,LEAGUE,,Bayer 04 Leverkusen,RB Leipzig,2,3,A,Germany,Bundesliga,football-data.co.uk
503068,2024-08-31,SA,2024,REGULAR_SEASON,3.0,SS Lazio,AC Milan,2,2,D,,SA,existing_project_data
league_750f434398491cbc,2024-08-31,SERIE_A,2024-25,LEAGUE,,SS Lazio,AC Milan,2,2,D,Italy,Serie A,football-data.co.uk
502397,2024-09-14,BL1,2024,REGULAR_SEASON,3.0,Holstein Kiel,FC Bayern München,1,6,A,,BL1,existing_project_data
league_ff78db43fa707eba,2024-09-14,BUNDESLIGA,2024-25,LEAGUE,,Holstein Kiel,FC Bayern München,1,6,A,Germany,Bundesliga,football-data.co.uk
499034,2024-09-15,DED,2024,REGULAR_SEASON,5.0,Sparta Rotterdam,Go Ahead Eagles,1,2,A,,DED,existing_project_data
league_b18777dd5a9995ac,2024-09-15,EREDIVISIE,2024-25,LEAGUE,,Sparta Rotterdam,Go Ahead Eagles,1,2,A,Netherlands,Eredivisie,football-data.co.uk
502400,2024-09-21,BL1,2024,REGULAR_SEASON,4.0,Eintracht Frankfurt,Borussia Mönchengladbach,2,0,H,,BL1,existing_project_data
league_94505ffb8db20e7e,2024-09-21,BUNDESLIGA,2024-25,LEAGUE,,Eintracht Frankfurt,Borussia Mönchengladbach,2,0,H,Germany,Bundesliga,football-data.co.uk
499045,2024-09-22,DED,2024,REGULAR_SEASON,6.0,Feyenoord Rotterdam,NAC Breda,2,0,H,,DED,existing_project_data
league_34ee0c1189bdb0e3,2024-09-22,EREDIVISIE,2024-25,LEAGUE,,Feyenoord Rotterdam,NAC Breda,2,0,H,Netherlands,Eredivisie,football-data.co.uk
502407,2024-09-28,BL1,2024,REGULAR_SEASON,5.0,FC Bayern München,Bayer 04 Leverkusen,1,1,D,,BL1,existing_project_data
league_fa049b02b88740a8,2024-09-28,BUNDESLIGA,2024-25,LEAGUE,,FC Bayern München,Bayer 04 Leverkusen,1,1,D,Germany,Bundesliga,football-data.co.uk
league_b1cccb1519a5a5e9,2024-09-29,LA_LIGA,2024-25,LEAGUE,,Club Atlético de Madrid,Real Madrid CF,1,1,D,Spain,La Liga,football-data.co.uk
498684,2024-09-29,PD,2024,REGULAR_SEASON,8.0,Club Atlético de Madrid,Real Madrid CF,1,1,D,,PD,existing_project_data
502415,2024-09-29,BL1,2024,REGULAR_SEASON,5.0,Holstein Kiel,Eintracht Frankfurt,2,4,A,,BL1,existing_project_data
league_9d2688c4f6749db1,2024-09-29,BUNDESLIGA,2024-25,LEAGUE,,Holstein Kiel,Eintracht Frankfurt,2,4,A,Germany,Bundesliga,football-data.co.uk
502416,2024-10-05,BL1,2024,REGULAR_SEASON,6.0,Bayer 04 Leverkusen,Holstein Kiel,2,2,D,,BL1,existing_project_data
league_2f53454dc3496d3b,2024-10-05,BUNDESLIGA,2024-25,LEAGUE,,Bayer 04 Leverkusen,Holstein Kiel,2,2,D,Germany,Bundesliga,football-data.co.uk
502418,2024-10-06,BL1,2024,REGULAR_SEASON,6.0,Eintracht Frankfurt,FC Bayern München,3,3,D,,BL1,existing_project_data
league_4bbfd975a3a97f16,2024-10-06,BUNDESLIGA,2024-25,LEAGUE,,Eintracht Frankfurt,FC Bayern München,3,3,D,Germany,Bundesliga,football-data.co.uk
502425,2024-10-19,BL1,2024,REGULAR_SEASON,7.0,Bayer 04 Leverkusen,Eintracht Frankfurt,2,1,H,,BL1,existing_project_data
league_65394475d346fd92,2024-10-19,BUNDESLIGA,2024-25,LEAGUE,,Bayer 04 Leverkusen,Eintracht Frankfurt,2,1,H,Germany,Bundesliga,football-data.co.uk
499069,2024-10-19,DED,2024,REGULAR_SEASON,9.0,Go Ahead Eagles,Feyenoord Rotterdam,1,5,A,,DED,existing_project_data
league_3cfc3c08041a84a6,2024-10-19,EREDIVISIE,2024-25,LEAGUE,,Go Ahead Eagles,Feyenoord Rotterdam,1,5,A,Netherlands,Eredivisie,football-data.co.uk
league_ed8cab9d6651e10e,2024-10-26,LA_LIGA,2024-25,LEAGUE,,Real Madrid CF,FC Barcelona,0,4,A,Spain,La Liga,football-data.co.uk
498718,2024-10-26,PD,2024,REGULAR_SEASON,11.0,Real Madrid CF,FC Barcelona,0,4,A,,PD,existing_project_data
503952,2024-10-28,PPL,2024,REGULAR_SEASON,9.0,AVS,FC Porto,0,5,A,,PPL,existing_project_data
league_dee17d2e76b7e66c,2024-10-28,PRIMEIRA_LIGA,2024-25,LEAGUE,,AVS,FC Porto,0,5,A,Portugal,Primeira Liga,football-data.co.uk
502445,2024-11-02,BL1,2024,REGULAR_SEASON,9.0,Borussia Dortmund,RB Leipzig,2,1,H,,BL1,existing_project_data
league_28c340e011806ed4,2024-11-02,BUNDESLIGA,2024-25,LEAGUE,,Borussia Dortmund,RB Leipzig,2,1,H,Germany,Bundesliga,football-data.co.uk
502453,2024-11-09,BL1,2024,REGULAR_SEASON,10.0,RB Leipzig,Borussia Mönchengladbach,0,0,D,,BL1,existing_project_data
league_4a12b9fabe34923d,2024-11-09,BUNDESLIGA,2024-25,LEAGUE,,RB Leipzig,Borussia Mönchengladbach,0,0,D,Germany,Bundesliga,football-data.co.uk
498042,2024-11-10,FL1,2024,REGULAR_SEASON,11.0,Olympique Lyonnais,AS Saint-Étienne,1,0,H,,FL1,existing_project_data
league_bafe89c540a0a971,2024-11-10,LIGUE_1,2024-25,LEAGUE,,Olympique Lyonnais,AS Saint-Étienne,1,0,H,France,Ligue 1,football-data.co.uk
502471,2024-11-30,BL1,2024,REGULAR_SEASON,12.0,Borussia Dortmund,FC Bayern München,1,1,D,,BL1,existing_project_data
league_d6c2990ae79b206a,2024-11-30,BUNDESLIGA,2024-25,LEAGUE,,Borussia Dortmund,FC Bayern München,1,1,D,Germany,Bundesliga,football-data.co.uk
502485,2024-12-07,BL1,2024,REGULAR_SEASON,13.0,Borussia Mönchengladbach,Borussia Dortmund,1,1,D,,BL1,existing_project_data
league_c4bb3116b0bbd2c6,2024-12-07,BUNDESLIGA,2024-25,LEAGUE,,Borussia Mönchengladbach,Borussia Dortmund,1,1,D,Germany,Bundesliga,football-data.co.uk
502487,2024-12-07,BL1,2024,REGULAR_SEASON,13.0,Holstein Kiel,RB Leipzig,0,2,A,,BL1,existing_project_data
league_150d115f9e50f0e7,2024-12-07,BUNDESLIGA,2024-25,LEAGUE,,Holstein Kiel,RB Leipzig,0,2,A,Germany,Bundesliga,football-data.co.uk
499126,2024-12-07,DED,2024,REGULAR_SEASON,15.0,Sparta Rotterdam,NAC Breda,0,2,A,,DED,existing_project_data
league_818d0488e1137e33,2024-12-07,EREDIVISIE,2024-25,LEAGUE,,Sparta Rotterdam,NAC Breda,0,2,A,Netherlands,Eredivisie,football-data.co.uk
502493,2024-12-14,BL1,2024,REGULAR_SEASON,14.0,Borussia Mönchengladbach,Holstein Kiel,4,1,H,,BL1,existing_project_data
league_d48cc8fef728b11d,2024-12-14,BUNDESLIGA,2024-25,LEAGUE,,Borussia Mönchengladbach,Holstein Kiel,4,1,H,Germany,Bundesliga,football-data.co.uk
498085,2024-12-15,FL1,2024,REGULAR_SEASON,15.0,Paris Saint-Germain FC,Olympique Lyonnais,3,1,H,,FL1,existing_project_data
league_1af8e420fc35aec9,2024-12-15,LIGUE_1,2024-25,LEAGUE,,Paris Saint-Germain FC,Olympique Lyonnais,3,1,H,France,Ligue 1,football-data.co.uk
502488,2024-12-15,BL1,2024,REGULAR_SEASON,14.0,RB Leipzig,Eintracht Frankfurt,2,1,H,,BL1,existing_project_data
league_e0977cbbdda1fc54,2024-12-15,BUNDESLIGA,2024-25,LEAGUE,,RB Leipzig,Eintracht Frankfurt,2,1,H,Germany,Bundesliga,football-data.co.uk
502499,2024-12-20,BL1,2024,REGULAR_SEASON,15.0,FC Bayern München,RB Leipzig,5,1,H,,BL1,existing_project_data
league_4dab419ab77e91dc,2024-12-20,BUNDESLIGA,2024-25,LEAGUE,,FC Bayern München,RB Leipzig,5,1,H,Germany,Bundesliga,football-data.co.uk
league_ad64ae29b30d7b07,2024-12-21,LA_LIGA,2024-25,LEAGUE,,FC Barcelona,Club Atlético de Madrid,1,2,A,Spain,La Liga,football-data.co.uk
498787,2024-12-21,PD,2024,REGULAR_SEASON,18.0,FC Barcelona,Club Atlético de Madrid,1,2,A,,PD,existing_project_data
499140,2024-12-21,DED,2024,REGULAR_SEASON,17.0,Go Ahead Eagles,NAC Breda,2,1,H,,DED,existing_project_data
league_9be1bf4b362553d3,2024-12-21,EREDIVISIE,2024-25,LEAGUE,,Go Ahead Eagles,NAC Breda,2,1,H,Netherlands,Eredivisie,football-data.co.uk
503219,2024-12-29,SA,2024,REGULAR_SEASON,18.0,AC Milan,AS Roma,1,1,D,,SA,existing_project_data
league_e241b8a217c34880,2024-12-29,SERIE_A,2024-25,LEAGUE,,AC Milan,AS Roma,1,1,D,Italy,Serie A,football-data.co.uk
503230,2025-01-05,SA,2024,REGULAR_SEASON,19.0,AS Roma,SS Lazio,2,0,H,,SA,existing_project_data
league_cccb21474fb023c4,2025-01-05,SERIE_A,2024-25,LEAGUE,,AS Roma,SS Lazio,2,0,H,Italy,Serie A,football-data.co.uk
502507,2025-01-10,BL1,2024,REGULAR_SEASON,16.0,Borussia Dortmund,Bayer 04 Leverkusen,2,3,A,,BL1,existing_project_data
league_abf477efac6cf174,2025-01-10,BUNDESLIGA,2024-25,LEAGUE,,Borussia Dortmund,Bayer 04 Leverkusen,2,3,A,Germany,Bundesliga,football-data.co.uk
502513,2025-01-11,BL1,2024,REGULAR_SEASON,16.0,Borussia Mönchengladbach,FC Bayern München,0,1,A,,BL1,existing_project_data
league_ca51c6035898c65a,2025-01-11,BUNDESLIGA,2024-25,LEAGUE,,Borussia Mönchengladbach,FC Bayern München,0,1,A,Germany,Bundesliga,football-data.co.uk
498102,2025-01-12,FL1,2024,REGULAR_SEASON,17.0,Paris Saint-Germain FC,AS Saint-Étienne,2,1,H,,FL1,existing_project_data
league_e665ceac30ee3c93,2025-01-12,LIGUE_1,2024-25,LEAGUE,,Paris Saint-Germain FC,AS Saint-Étienne,2,1,H,France,Ligue 1,football-data.co.uk
502523,2025-01-14,BL1,2024,REGULAR_SEASON,17.0,Holstein Kiel,Borussia Dortmund,4,2,H,,BL1,existing_project_data
league_649400def0af45a9,2025-01-14,BUNDESLIGA,2024-25,LEAGUE,,Holstein Kiel,Borussia Dortmund,4,2,H,Germany,Bundesliga,football-data.co.uk
