league,sport_key,api_team,status,matched_model_team,best_candidate,best_score,second_best_score,score_margin,distinctive_overlap,reason
Primeira Liga,soccer_portugal_primeira_liga,Moreirense FC,MATCHED,Moreirense FC,Moreirense FC,1.0,0.0,1.0,moreirense,Exact normalized team-name match.
Primeira Liga,soccer_portugal_primeira_liga,Rio Ave FC,MATCHED,Rio Ave FC,Rio Ave FC,1.0,0.0,1.0,"ave, rio",Exact normalized team-name match.
Primeira Liga,soccer_portugal_primeira_liga,Sporting Lisbon,MATCHED,Sporting Clube de Portugal,Sporting Clube de Portugal,0.99,0.0,0.99,"clube, lisbon, portugal",Verified team alias match.
Primeira Liga,soccer_portugal_primeira_liga,Vitória SC,MATCHED,Vitória SC,Vitória SC,1.0,0.0,1.0,vitoria,Exact normalized team-name match.
Serie A,soccer_italy_serie_a,AC Milan,MATCHED,AC Milan,AC Milan,1.0,0.0,1.0,milan,Exact normalized team-name match.
Serie A,soccer_italy_serie_a,AS Roma,MATCHED,AS Roma,AS Roma,1.0,0.0,1.0,roma,Exact normalized team-name match.
Serie A,soccer_italy_serie_a,Atalanta BC,MATCHED,Atalanta BC,Atalanta BC,1.0,0.0,1.0,atalanta,Exact normalized team-name match.
Serie A,soccer_italy_serie_a,Cagliari,MATCHED,Cagliari Calcio,Cagliari Calcio,0.8543478260869565,0.0,0.8543478260869565,cagliari,High-confidence distinctive-name match.
Serie A,soccer_italy_serie_a,Como,MATCHED,Como 1907,Como 1907,0.8423076923076923,0.0,0.8423076923076923,como,High-confidence distinctive-name match.
Serie A,soccer_italy_serie_a,Frosinone,MATCHED,Frosinone Calcio,Frosinone Calcio,0.858,0.0,0.858,frosinone,High-confidence distinctive-name match.
Serie A,soccer_italy_serie_a,Juventus,MATCHED,Juventus FC,Juventus FC,0.8763157894736842,0.0,0.8763157894736842,juventus,High-confidence distinctive-name match.
Serie A,soccer_italy_serie_a,Torino,MATCHED,Torino FC,Torino FC,0.87,0.0,0.87,torino,High-confidence distinctive-name match.
Serie A,soccer_italy_serie_a,Udinese,MATCHED,Udinese Calcio,Udinese Calcio,0.85,0.0,0.85,udinese,High-confidence distinctive-name match.
Serie A,soccer_italy_serie_a,Venezia,MATCHED,Venezia FC,Venezia FC,0.8735294117647059,0.0,0.8735294117647059,venezia,High-confidence distinctive-name match.
Turkish Super League,soccer_turkey_super_league,Galatasaray,MATCHED,Galatasaray SK,Galatasaray SK,0.99,0.0,0.99,galatasaray,Verified team alias match.
